term,justice,justiceName,code,post_mn,post_sd,post_med,post_025,post_975
2005,112,Alito,ALTO,1.556,0.379,1.549,0.84,2.329
2006,112,Alito,ALTO,1.575,0.319,1.56,0.981,2.234
2007,112,Alito,ALTO,1.675,0.318,1.663,1.082,2.331
2008,112,Alito,ALTO,1.909,0.317,1.899,1.328,2.561
2009,112,Alito,ALTO,1.986,0.342,1.978,1.348,2.678
2010,112,Alito,ALTO,2.192,0.361,2.181,1.524,2.935
2011,112,Alito,ALTO,2.293,0.385,2.281,1.576,3.078
2012,112,Alito,ALTO,2.405,0.429,2.392,1.605,3.268
2013,112,Alito,ALTO,2.484,0.498,2.466,1.549,3.511
1937,78,Black,BLC,-2.899,0.329,-2.894,-3.554,-2.272
1938,78,Black,BLC,-3.19,0.364,-3.185,-3.907,-2.492
1939,78,Black,BLC,-3.277,0.387,-3.274,-4.037,-2.537
1940,78,Black,BLC,-3.306,0.384,-3.3,-4.074,-2.567
1941,78,Black,BLC,-3.191,0.38,-3.184,-3.966,-2.468
1942,78,Black,BLC,-2.937,0.37,-2.925,-3.688,-2.253
1943,78,Black,BLC,-2.617,0.369,-2.606,-3.372,-1.915
1944,78,Black,BLC,-2.499,0.338,-2.488,-3.192,-1.867
1945,78,Black,BLC,-2.12,0.336,-2.114,-2.806,-1.498
1946,78,Black,BLC,-1.935,0.302,-1.928,-2.552,-1.366
1947,78,Black,BLC,-1.802,0.281,-1.793,-2.378,-1.283
1948,78,Black,BLC,-1.647,0.274,-1.638,-2.216,-1.128
1949,78,Black,BLC,-1.679,0.316,-1.672,-2.311,-1.075
1950,78,Black,BLC,-1.636,0.304,-1.629,-2.249,-1.062
1951,78,Black,BLC,-1.526,0.28,-1.523,-2.095,-0.999
1952,78,Black,BLC,-1.236,0.256,-1.226,-1.772,-0.765
1953,78,Black,BLC,-1.576,0.273,-1.568,-2.137,-1.06
1954,78,Black,BLC,-1.648,0.297,-1.644,-2.251,-1.086
1955,78,Black,BLC,-1.929,0.297,-1.919,-2.524,-1.367
1956,78,Black,BLC,-2.112,0.286,-2.105,-2.698,-1.571
1957,78,Black,BLC,-2.17,0.282,-2.161,-2.734,-1.633
1958,78,Black,BLC,-2.057,0.285,-2.048,-2.624,-1.509
1959,78,Black,BLC,-2.019,0.275,-2.012,-2.579,-1.507
1960,78,Black,BLC,-1.892,0.274,-1.884,-2.454,-1.37
1961,78,Black,BLC,-1.791,0.275,-1.786,-2.35,-1.281
1962,78,Black,BLC,-1.702,0.263,-1.697,-2.221,-1.2
1963,78,Black,BLC,-1.47,0.251,-1.46,-1.986,-0.997
1964,78,Black,BLC,-0.979,0.243,-0.973,-1.47,-0.508
1965,78,Black,BLC,-0.608,0.21,-0.606,-1.037,-0.208
1966,78,Black,BLC,-0.315,0.171,-0.311,-0.652,0.008
1967,78,Black,BLC,-0.105,0.18,-0.103,-0.465,0.243
1968,78,Black,BLC,-0.011,0.186,-0.012,-0.379,0.348
1969,78,Black,BLC,0.077,0.194,0.076,-0.307,0.458
1970,78,Black,BLC,0.056,0.187,0.056,-0.314,0.42
1970,100,Blackmun,BLKM,1.9,0.306,1.893,1.34,2.525
1971,100,Blackmun,BLKM,1.849,0.249,1.841,1.375,2.362
1972,100,Blackmun,BLKM,1.494,0.22,1.491,1.075,1.94
1973,100,Blackmun,BLKM,1.34,0.209,1.336,0.941,1.759
1974,100,Blackmun,BLKM,1.059,0.21,1.059,0.648,1.478
1975,100,Blackmun,BLKM,0.883,0.182,0.877,0.542,1.25
1976,100,Blackmun,BLKM,0.65,0.169,0.647,0.324,0.992
1977,100,Blackmun,BLKM,0.272,0.178,0.272,-0.074,0.624
1978,100,Blackmun,BLKM,0.108,0.161,0.107,-0.206,0.43
1979,100,Blackmun,BLKM,-0.073,0.156,-0.073,-0.38,0.227
1980,100,Blackmun,BLKM,-0.168,0.17,-0.166,-0.508,0.162
1981,100,Blackmun,BLKM,-0.489,0.17,-0.485,-0.83,-0.164
1982,100,Blackmun,BLKM,-0.563,0.172,-0.559,-0.905,-0.236
1983,100,Blackmun,BLKM,-0.104,0.162,-0.102,-0.428,0.211
1984,100,Blackmun,BLKM,-0.231,0.17,-0.23,-0.568,0.1
1985,100,Blackmun,BLKM,-0.789,0.178,-0.786,-1.142,-0.451
1986,100,Blackmun,BLKM,-0.958,0.179,-0.952,-1.317,-0.62
1987,100,Blackmun,BLKM,-0.964,0.205,-0.96,-1.378,-0.574
1988,100,Blackmun,BLKM,-0.999,0.193,-0.997,-1.385,-0.633
1989,100,Blackmun,BLKM,-0.886,0.193,-0.883,-1.273,-0.523
1990,100,Blackmun,BLKM,-1.191,0.23,-1.184,-1.655,-0.761
